ST	penA	mtrR	porB	ponA	gyrA	parC	23S
1	20	10	13	100	100	2	100
2	22	14	14	100	100	7	100
3	166	1	13	1	5	1	100
4	14	19	8	1	2	5	100
5	517	25	8	1	2	11	100
6	166	19	8	1	1	1	100
7	166	26	13	1	1	12	100
8	21	1	8	1	100	7	100
9	166	32	2	100	100	100	100
10	15	1	12	1	1	3	100
11	19	5	100	100	100	100	100
12	20	10	5	1	100	1	100
13	22	5	14	100	100	2	100
14	21	22	8	1	100	1	100
15	14	19	8	1	5	2	100
16	500	1	11	1	1	3	100
17	18	18	14	100	100	1	100
18	18	18	14	100	3	1	100
19	17	4	100	100	100	1	100
20	17	5	100	100	100	1	100
21	17	7	1	100	100	2	100
22	14	1	8	1	1	3	100
23	14	19	11	1	5	2	100
24	1521	25	8	1	9	1	100
25	14	33	12	1	2	5	100
26	21	1	8	1	1	3	100
27	21	1	8	1	1	3	2
28	21	1	8	1	2	4	100
29	21	1	8	3	1	3	100
30	21	1	8	3	1	3	1
31	21	1	8	4	1	14	100
32	21	1	8	4	1	3	100
33	21	34	8	1	1	3	100
34	21	35	8	3	100	7	100
35	876	1	8	1	1	3	2
36	1514	1	8	1	1	3	1
37	284	1	8	1	1	3	100
38	284	19	8	1	1	9	100
39	284	19	8	1	1	9	2
40	1595	22	8	1	2	3	2
41	284	36	8	1	3	7	100
42	294	10	3	100	100	1	100
43	294	10	3	100	100	1	6
44	1321	28	1	100	100	7	100
45	22	18	1	100	100	2	100
46	22	9	1	100	100	7	100
47	1323	25	1	1	100	2	100
48	1323	25	1	1	100	2	2
49	1323	25	1	1	8	2	100
50	1516	37	8	1	1	10	100
51	287	19	8	1	7	3	100
52	228	25	6	100	100	2	100
53	228	38	1	1	7	15	100
54	166	23	1	100	100	100	100
55	166	24	1	100	100	2	100
56	166	24	13	100	100	2	100
57	166	25	3	100	100	100	2
58	166	27	1	100	100	100	100
59	166	30	11	100	100	100	100
60	166	31	1	100	100	100	100
61	166	5	3	100	100	100	2
62	166	9	100	100	100	100	2
63	166	9	1	100	100	100	100
64	166	9	1	100	100	100	2
65	166	9	1	100	1	100	100
66	166	9	1	2	100	100	100
67	166	9	11	100	100	100	100
68	166	9	11	100	100	100	2
69	23	1	12	1	7	6	1
70	23	1	13	1	2	13	100
71	23	19	1	1	7	3	100
72	23	19	11	1	7	3	100
73	23	19	8	1	7	3	100
74	23	25	3	100	100	100	2
75	1508	9	1	100	1	100	100
76	290	19	8	1	7	8	100
77	1518	100	3	100	100	1	2
78	1519	100	3	100	100	1	2
79	20	100	3	100	100	1	2
80	20	1	3	100	100	1	2
81	1276	11	100	100	100	2	100
82	20	12	100	100	100	7	100
83	20	13	3	100	100	1	100
84	20	15	100	100	100	7	100
85	20	15	3	100	100	1	100
86	20	19	6	1	100	2	100
87	20	6	100	100	6	1	100
88	266	100	11	1	1	3	100
89	266	1	1	1	1	3	100
90	266	1	11	1	1	3	100
91	266	1	11	1	1	3	2
92	266	1	11	1	1	3	5
93	266	1	11	3	1	3	100
94	266	1	11	5	1	3	100
95	1240	1	1	1	1	3	100
96	1240	1	11	1	1	16	100
97	1240	1	11	1	1	3	100
98	1240	1	11	1	1	3	2
99	1240	1	11	3	1	3	100
100	1522	1	11	1	1	3	100
101	1523	1	11	1	1	3	100
102	289	1	11	1	1	3	100
103	1527	1	11	1	1	3	100
104	494	19	8	1	100	1	100
105	494	25	1	1	5	2	2
106	494	25	12	1	5	2	100
107	494	25	4	1	5	2	2
108	494	20	8	100	100	100	100
109	494	21	8	1	100	1	100
110	1531	5	100	100	4	1	100
111	1532	1	11	1	1	3	100
112	500	1	12	1	7	6	1
113	529	1	9	1	7	3	100
114	291	1	8	1	7	2	100
115	645	16	10	1	1	10	2
116	665	8	100	100	6	1	100
117	1533	19	8	1	100	1	100
118	1534	25	1	100	100	100	2
119	1535	100	3	100	100	1	2
120	1535	13	3	100	100	1	100
121	1536	16	10	1	1	10	100
122	1512	1	1	1	1	3	100
123	288	1	1	1	1	3	2
124	288	1	11	1	1	3	100
125	855	1	11	1	1	3	2
126	288	1	3	1	1	3	4
127	288	1	8	1	1	3	100
128	288	1	8	1	1	3	2
129	288	2	8	100	1	3	100
130	1513	1	1	1	1	3	2
131	1537	1	8	1	1	3	100
132	1538	1	11	3	1	3	100
133	1542	19	8	1	1	9	100
134	1543	1	11	1	1	3	100
135	1544	19	8	1	1	9	100
136	1546	1	11	1	1	3	100
137	285	1	100	1	100	2	100
138	285	1	7	1	100	2	100
139	285	1	8	1	100	2	100
140	285	1	8	1	100	2	3
141	285	25	100	1	100	2	100
142	285	25	1	1	100	2	100
143	285	25	10	1	100	2	100
144	285	25	3	100	100	2	100
145	21	1	8	4	1	3	2
146	1322	5	100	100	100	1	100
147	285	1	8	1	100	2	2
148	288	1	8	1	7	3	2
149	288	1	12	1	1	3	2
150	855	1	11	1	1	3	100
151	288	1	1	1	1	3	100
152	1539	1	11	1	1	3	100
153	20	11	100	100	100	2	100
154	1540	1	11	1	1	3	100
155	1545	19	8	1	1	9	100
156	1541	1	11	1	1	3	100
157	294	10	3	100	100	100	100
158	645	16	10	1	1	10	100
159	1529	10	3	100	100	1	100
160	1321	29	1	100	100	7	6
161	1321	5	1	100	100	7	6
162	294	1	100	1	100	2	100
163	288	1	3	1	1	1	100
165	645	16	11	1	1	10	100
167	645	9	13	100	100	100	100
168	166	39	11	100	7	4	100
169	20	25	1	100	100	1	100
170	1525	40	3	100	7	4	100
171	1515	28	1	100	100	7	6
172	1321	28	1	100	100	7	6
173	166	41	15	100	100	17	100
174	294	29	4	100	100	7	100
175	284	19	1	1	1	9	100
176	23	39	100	100	10	2	100
177	283	1	8	1	1	3	100
178	294	29	1	100	100	7	100
179	294	29	1	100	100	7	2
180	287	19	4	1	7	3	8
181	166	19	100	1	100	2	100
182	166	25	3	100	100	100	100
183	166	9	1	100	100	100	9
184	166	9	1	100	100	2	100
185	166	9	8	100	100	100	2
186	23	19	8	100	1	18	100
187	1509	25	3	100	100	100	2
188	1510	9	100	100	100	100	100
189	507	43	14	100	100	100	100
190	20	25	100	100	100	2	100
